asin,title,keyword_ids,english_keywords,relevance_pct,n,matches
B09BB16NDS,Lenco MC-175 Compact Systeem - DAB+ en FM - CD/MP3-speler - Bluetooth - 2 x USB - QI lader - 2 x 20 Watt RMS - Wekker - Afstandsbediening - Zilver,103;117;126,mp3 player|mp3 player with bluetooth|cd player,100;80;80,3,"mp3 player(id103,100%,title) | mp3 player with bluetooth(id117,80%,body) | cd player(id126,80%,title)"
B09CV8N7X4,Lenco SCD-24TR - CD Player - Radio-CD Player - auch für Kinder - Tragbar,119;104,kids cd player|portable cd player,100;50,2,"kids cd player(id119,100%,title) | portable cd player(id104,50%,body)"
B09D9JF4JB,Alecto AK-70 - Große Digitaluhr mit Thermometer und Hygrometer - Funk Wecker - Funkuhr mit Temperaturanzeige - Schwarz,184;196;413;623;171,hygrometer|thermometer|alarm clock|digital thermometer|weather station,100;100;100;100;50,5,"hygrometer(id184,100%,title) | thermometer(id196,100%,title) | alarm clock(id413,100%,title) | digital thermometer(id623,100%,body) | weather station(id171,50%,body)"
B09DGN7MRD,Lenco LS-500BK - Plattenspieler mit Lautsprecher & Bluetooth,1;16;136;137,bluetooth speaker|wooden bluetooth speaker|record player with speakers|hifi set,100;75;75;50,4,"bluetooth speaker(id1,100%,title) | wooden bluetooth speaker(id16,75%,body) | record player with speakers(id136,75%,body) | hifi set(id137,50%,body)"
B09F3NZ7F4,"Lenco HPW-400 - Cuffie wireless per TV con docking station, Bluetooth 4.2-10 m, altezza e profondità regolabili, colore: nero",675;475,wireless tv headphones|docking station,100;56,2,"wireless tv headphones(id675,100%,title) | docking station(id475,56%,title)"
B09F9LZBFH,"Gastronoma 18220001, aardappelschilmachine met slacentrifuge, 1 kg, elektrische aardappelschiller, aardappel, schilmachine, kunststof, zwart",,,,0,
B09FXXCBTF,Lenco TT-41OK Ocre,,,,0,
B09FXXXLT6,Classic Phono Lenco TT-43WA Noyer,122,record player,100,1,"record player(id122,100%,body)"
B09G3FG9JV,Lenco LS-55WA - Plattenspieler mit Lautsprecher und Bluetooth,1;117;136;4;460;461,bluetooth speaker|mp3 player with bluetooth|record player with speakers|pc speakers|PC power supply|PC case,100;100;75;50;50;50,6,"bluetooth speaker(id1,100%,title) | mp3 player with bluetooth(id117,100%,body) | record player with speakers(id136,75%,body) | pc speakers(id4,50%,body) | PC power supply(id460,50%,body) | PC case(id461,50%,body)"
B09HXYK6QY,Lenco LPJ-700BKGY - Beamer - Mini Beamer HD - Projektor - Projector 4k,639;1,mini projector|bluetooth speaker,100;50,2,"mini projector(id639,100%,title) | bluetooth speaker(id1,50%,body)"
